CountNormalized2;CommonElements;IncorrectlyGenerated;MissingElements;CommonPercentage;Minimal diagnosis - GPT
0;0;0;0;1,0;No JSON
0;0;0;4;0,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;8;0,0;OpenAI Error
0;0;0;0;1,0;
3;3;0;0;1,0;"A6
A4
A3"
4;4;0;0;1,0;"A2
A7
A1
A5"
0;0;0;12;0,0;OpenAI Error
0;0;0;0;1,0;
4;4;0;0;1,0;"M2
M1
M5
M7"
3;3;0;0;1,0;"M4
M3
M6"
0;0;0;12;0,0;OpenAI Error
0;0;0;0;1,0;
3;3;0;0;1,0;"A2
M2
A4"
0;0;0;12;0,0;OpenAI Error
4;4;0;0;1,0;"A1
M1
M3
A3"
0;0;0;0;1,0;
0;0;0;9;0,0;OpenAI Error
0;0;0;9;0,0;OpenAI Error
0;0;0;21;0,0;OpenAI Error
0;0;0;0;1,0;
0;0;0;5;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;0;1,0;
0;0;0;21;0,0;OpenAI Error
0;0;0;9;0,0;OpenAI Error
0;0;0;21;0,0;OpenAI Error
0;0;0;45;0,0;OpenAI Error
0;0;0;29;0,0;OpenAI Error
0;0;0;25;0,0;OpenAI Error
0;0;0;9;0,0;OpenAI Error
0;0;0;0;1,0;
0;0;0;49;0,0;OpenAI Error
0;0;0;37;0,0;OpenAI Error
0;0;0;165;0,0;OpenAI Error
0;0;0;37;0,0;OpenAI Error
0;0;0;13;0,0;OpenAI Error
0;0;0;49;0,0;OpenAI Error
0;0;0;93;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
4;4;0;0;1,0;"A2
A7
A1
A5"
0;0;0;12;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;12;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
4;4;0;0;1,0;"O3
A1
O1
A3"
0;0;0;12;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;9;0,0;OpenAI Error
0;0;0;21;0,0;OpenAI Error
0;0;0;0;1,0;
0;0;0;5;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;9;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;21;0,0;OpenAI Error
0;0;0;29;0,0;OpenAI Error
0;0;0;57;0,0;OpenAI Error
0;0;0;9;0,0;OpenAI Error
0;0;0;9;0,0;OpenAI Error
0;0;0;21;0,0;OpenAI Error
0;0;0;45;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;49;0,0;OpenAI Error
0;0;0;29;0,0;OpenAI Error
0;0;0;49;0,0;OpenAI Error
0;0;0;13;0,0;OpenAI Error
0;0;0;5;0,0;OpenAI Error
0;0;0;153;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;8;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;4;0,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;8;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;3;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
0;0;0;1;0,0;OpenAI Error
0;0;0;0;1,0;OpenAI Error
3;3;0;0;1,0;"A2
A1
M1"
