CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;MSO -GPT
3;1;0;1;0,0;No JSON
2;1;0;1;0,0;No JSON
2;2;2;0;1,0;"M3, M4, M6
M1, M2, M5, M7"
2;1;0;1;0,0;No JSON
3;1;1;0;0,3333333333333333;A2, A3, M2, M3, M4
3;1;1;0;0,3333333333333333;M3, M4
6;1;0;1;0,0;No JSON
6;1;0;1;0,0;No JSON
1;1;0;1;0,0;No JSON
1;1;0;1;0,0;No JSON
3;1;0;1;0,0;No JSON
2;1;0;1;0,0;No JSON
2;1;0;1;0,0;No JSON
2;1;0;1;0,0;No JSON
3;1;0;1;0,0;No JSON
3;1;0;1;0,0;No JSON
6;1;0;1;0,0;No JSON
6;1;0;1;0,0;No JSON
3;1;1;0;0,3333333333333333;M2, M3, M4
3;1;0;1;0,0;No JSON
1;1;0;1;0,0;No JSON
1;1;0;1;0,0;No JSON
1;1;1;0;1,0;A1, A2, M1
