CountNormalized1;CountNormalized2;CommonElements;IncorrectlyGenerated;CommonPercentage;Minimal diagnosis - GPT
0;1;0;1;0,0;No JSON
4;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
8;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;
3;3;3;0;1,0;"A6
A4
A3"
4;4;4;0;1,0;"A2
A7
A1
A5"
12;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;
4;4;4;0;1,0;"M2
M1
M5
M7"
3;3;3;0;1,0;"M4
M3
M6"
12;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;
3;3;3;0;1,0;"A2
M2
A4"
12;1;0;1;0,0;OpenAI Error
4;4;4;0;1,0;"A1
M1
M3
A3"
0;0;0;0;1,0;
9;1;0;1;0,0;OpenAI Error
9;1;0;1;0,0;OpenAI Error
21;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;
5;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;
21;1;0;1;0,0;OpenAI Error
9;1;0;1;0,0;OpenAI Error
21;1;0;1;0,0;OpenAI Error
45;1;0;1;0,0;OpenAI Error
29;1;0;1;0,0;OpenAI Error
25;1;0;1;0,0;OpenAI Error
9;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;
49;1;0;1;0,0;OpenAI Error
37;1;0;1;0,0;OpenAI Error
165;1;0;1;0,0;OpenAI Error
37;1;0;1;0,0;OpenAI Error
13;1;0;1;0,0;OpenAI Error
49;1;0;1;0,0;OpenAI Error
93;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
1;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
4;4;4;0;1,0;"A2
A7
A1
A5"
12;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
12;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
4;4;4;0;1,0;"O3
A1
O1
A3"
12;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
9;1;0;1;0,0;OpenAI Error
21;1;0;1;0,0;OpenAI Error
0;0;0;0;1,0;
5;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
9;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
21;1;0;1;0,0;OpenAI Error
29;1;0;1;0,0;OpenAI Error
57;1;0;1;0,0;OpenAI Error
9;1;0;1;0,0;OpenAI Error
9;1;0;1;0,0;OpenAI Error
21;1;0;1;0,0;OpenAI Error
45;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
49;1;0;1;0,0;OpenAI Error
29;1;0;1;0,0;OpenAI Error
49;1;0;1;0,0;OpenAI Error
13;1;0;1;0,0;OpenAI Error
5;1;0;1;0,0;OpenAI Error
153;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
8;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
4;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
8;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
3;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
1;1;0;1;0,0;OpenAI Error
0;1;0;1;0,0;OpenAI Error
3;3;3;0;1,0;"A2
A1
M1"
